dauid,area_sq_km,pop_total,hhld_total,vismin_total,vismin_vismin,lico_total,lico_lico,fam_total,fam_oneparent,fam_onemother
48061503,0.3306,497,212,520,200,500,35,135,45,40
48061504,0.1203,488,174,410,145,490,30,140,20,15
48061506,0.3289,1018,362,955,290,1020,35,295,55,45
48061508,0.097,442,171,495,160,440,15,130,30,20
48061513,0.3255,1710,627,1755,930,1650,75,475,90,70
48061516,0.108,406,132,335,180,405,20,120,20,10
48061517,0.1768,822,273,890,390,825,20,240,35,30
48061518,0.1201,497,177,445,125,500,20,150,30,25
48061522,0.241,649,293,570,115,645,35,175,20,20
48061523,0.2012,702,316,685,200,700,50,190,25,25
48061556,0.5505,1121,390,1210,725,1120,100,335,80,75
48061557,0.1566,472,193,430,135,470,30,130,25,25
48061559,0.3939,1354,466,1335,490,1350,55,405,45,30
48061560,0.4529,1215,431,1220,475,1215,40,380,35,20
48061561,0.4957,1194,410,1140,490,1195,60,370,45,25
48061564,0.2663,908,333,910,180,905,30,270,65,55
48061565,0.3776,971,351,1100,385,970,100,275,75,60
48061566,0.1682,1520,701,1465,980,1520,300,365,110,90
48061567,0.3661,1288,460,1185,650,1280,60,395,60,50
48061569,0.326,863,394,890,285,865,115,200,35,25
48061570,0.2459,1351,600,1255,560,1350,205,320,60,50
48061571,0.0801,1369,723,1450,940,1370,305,300,50,40
48061572,1.5511,1167,499,1205,440,1165,110,315,80,70
48061573,2.1496,1111,496,1120,195,1110,35,325,15,15
48061574,0.7543,1111,434,1080,135,1110,45,320,40,30
48061575,0.3147,746,182,635,465,585,35,150,25,25
48061576,0.3428,1471,596,1460,500,1470,175,350,115,75
48061577,1.3006,1931,784,1650,400,1720,85,455,70,60
48061578,0.2257,1097,621,1095,330,1095,140,275,65,55
48061579,0.7159,1508,725,1555,490,1510,150,395,95,85
48061580,0.2558,878,499,865,335,875,115,205,55,45
48061581,0.2722,1494,760,1440,480,1480,160,365,85,70
48061583,0.5741,1810,813,1860,575,1805,95,505,145,125
48061584,0.7284,1539,486,1450,435,1540,110,440,105,80
48061585,0.3205,1126,412,1080,335,1125,85,315,95,85
48061586,0.3612,1129,369,1175,775,1130,30,305,65,50
48061588,0.2516,624,238,675,60,625,30,195,25,15
48061589,0.9903,1097,455,1045,200,1095,50,355,40,25
48061598,0.0947,451,230,480,185,450,40,125,30,30
48061599,0.0902,604,287,640,220,605,20,160,40,40
48061600,0.3956,1124,363,1100,660,1125,45,350,40,25
48061601,0.0832,223,80,180,110,225,0,80,5,5
48061602,0.202,620,208,590,285,620,15,185,20,15
48061603,0.1,313,111,265,155,315,20,105,10,10
48061604,0.1035,448,137,385,80,450,0,135,10,5
48061605,0.242,947,333,1045,500,950,50,280,50,40
48061606,0.2086,382,121,430,135,380,5,120,15,15
48061607,0.1003,507,158,495,195,505,10,140,20,15
48061608,0.0563,272,90,245,95,275,5,75,15,10
